Designator,Mid X,Mid Y,Rotation,Layer
C1,209.804,-47.4726,0.0,top
C10,175.784127,-67.564,90.0,top
C11,201.922127,-121.145,270.0,top
C12,175.276127,-113.792,90.0,top
C13,197.858127,-116.201987,90.0,top
C14,210.566,-53.594,270.0,top
C2,209.8302,-49.7586,0.0,top
C24,175.768,-117.856,270.0,top
C25,176.53,-96.52,270.0,top
C27,174.252,-47.498,0.0,top
C29,176.53,-107.937,270.0,top
C3,202.438,-109.4362,270.0,top
C30,176.0728,-72.898,270.0,top
C32,198.0438,-92.7354,90.0,top
C33,198.374,-83.312,90.0,top
C35,197.866,-105.143,90.0,top
C36,176.022,-87.2236,270.0,top
C4,201.93,-98.044,270.0,top
C5,201.93,-87.109,270.0,top
C6,197.866,-75.414,270.0,top
C7,175.276127,-102.87,90.0,top
C8,175.276127,-91.44,90.0,top
C9,175.53,-80.453987,90.0,top
D31,181.209794,-77.885742,90.0,top
D32,179.209794,-77.885742,90.0,top
D33,188.664646,-77.858496,90.0,top
D34,186.5074,-77.908496,90.0,top
D35,184.658,-77.863602,90.0,top
D36,182.954646,-77.858496,90.0,top
D37,190.4824,-77.845996,90.0,top
D38,192.2324,-77.84375,90.0,top
D39,193.937252,-77.804004,90.0,top
D40,195.7324,-77.83125,90.0,top
P1,165.1,-51.816,270.0,top
R1,171.704,-51.816,90.0,top
R17,171.212127,-102.87,90.0,top
R18,171.212127,-91.44,90.0,top
R19,200.66,-109.4232,270.0,top
R2,171.704,-48.006,270.0,top
R20,200.152,-98.044,270.0,top
R21,199.898,-87.376,270.0,top
R22,201.587443,-75.414,270.0,top
R23,171.72,-80.453987,90.0,top
R24,171.720127,-67.564,90.0,top
R25,200.152,-121.158,270.0,top
R26,171.212127,-113.792,90.0,top
R27,173.244127,-102.857,90.0,top
R28,173.244127,-91.44,90.0,top
R29,198.882,-109.4232,270.0,top
R3,167.132,-61.7728,180.0,top
R30,198.374,-98.044,270.0,top
R31,198.0184,-87.3252,270.0,top
R32,199.587443,-75.414,270.0,top
R33,173.752,-80.453987,90.0,top
R34,173.752127,-67.564,90.0,top
R35,198.4756,-121.158,270.0,top
R36,173.244127,-113.792,90.0,top
R5,167.1828,-63.8556,0.0,top
R53,181.209794,-74.635742,90.0,top
R54,179.209794,-74.610742,90.0,top
R55,188.664646,-74.608496,90.0,top
R56,186.4824,-74.633496,90.0,top
R57,184.658,-74.638602,90.0,top
R58,182.954646,-74.633496,90.0,top
R59,190.4824,-74.570996,90.0,top
R60,192.2324,-74.56875,90.0,top
R61,193.912252,-74.554004,90.0,top
R62,195.7324,-74.56875,90.0,top
R7,208.788,-53.594,90.0,top
SW1,205.7072,-63.5,180.0,top
SW2,205.7146,-58.674,180.0,top
U10,200.587443,-70.8565,0.0,top
U11,173.009127,-107.95,180.0,top
U12,173.244127,-96.52,180.0,top
U13,173.26,-85.533987,180.0,top
U14,173.212,-73.1864,180.0,top
U15,200.922,-115.759987,0.0,top
U16,172.466254,-118.872,180.0,top
U2,204.0,-50.0,270.0,top
U3,188.486788,-95.054305,90.0,top
U4,189.509394,-85.579197,90.0,top
U5,186.5,-52.15,0.0,top
U7,200.929873,-104.316987,0.0,top
U8,201.43,-92.899987,0.0,top
U9,201.183873,-82.231987,0.0,top
